line,stations
Red,Shaheed Sthal (New Bus Adda);Welcome;Kashmere Gate;Inderlok;Netaji Subhash Place;Rithala
Green,Inderlok;Kirti Nagar
Pink,Majlis Park;Azadpur;Netaji Subhash Place;Rajouri Garden;Dilli Haat - INA;Lajpat Nagar;Mayur Vihar - I;Shiv Vihar
Yellow,Samaypur Badli;Azadpur;Kashmere Gate;New Delhi;Rajiv Chowk;Central Secretariat;Dilli Haat - INA;Hauz Khas;Huda City Centre
Violet,Kashmere Gate;Central Secretariat;Mandi House;Lajpat Nagar;Badarpur Border
Airport Express,New Delhi;IGI Airport;Dwarka Sector 21
Blue,Dwarka Sector 21;Janakpuri West;Rajouri Garden;Kirti Nagar;Rajiv Chowk;Mandi House;Mayur Vihar - I;Botanical Garden;Vaishali
Magenta,Janakpuri West;Hauz Khas;Botanical Garden
Grey,Najafgarh
